Configuration,Video,FPS,MPJPE,Jitter
no_interp_v8n,Idle+jumpimg_jack,69.96921742830682,0.01384587023700311,0.0127223525
no_interp_v8n,Idle,78.52912190256401,0.006472148098487158,0.0024822922
no_interp_v8n,jumping_jack,51.29723145326641,0.02342957114002224,0.031863037
with_interp_v8n,Idle+jumpimg_jack,69.7947513074797,0.009165959390337578,0.0024074959
with_interp_v8n,Idle,78.32863738096398,0.0048056029752335154,0.00021604417
with_interp_v8n,jumping_jack,50.813809896784015,0.013426925894649736,0.006450887
