Configuration,Video,FPS,MPJPE,Jitter
thr1.0_v8n,Idle+jumpimg_jack,33.66612024252767,0.008169086179427036,6.7810402867662e-06
thr1.0_v8n,Idle,45.3020009410635,0.005313125857979078,1.4875666275306152e-06
thr1.0_v8n,jumping_jack,22.07386085347286,0.011584125921281389,1.613584989058734e-05
thr10.0_v8n,Idle+jumpimg_jack,70.08555723758684,0.013840812404091797,6.573004174471563e-06
thr10.0_v8n,Idle,59.27511204439688,0.005663771378479079,1.542255245940308e-06
thr10.0_v8n,jumping_jack,64.76525378937386,0.0338148140525924,1.8470694675533932e-05
thr2.0_v8n,Idle+jumpimg_jack,37.57288605259478,0.008357128801772105,6.820648169797019e-06
thr2.0_v8n,Idle,52.335093349417306,0.0055400220498512615,1.5178092187847374e-06
thr2.0_v8n,jumping_jack,20.841245988845294,0.011722567205198106,1.6142217583708272e-05
thr3.0_v8n,Idle+jumpimg_jack,43.94353461649959,0.009227793259788678,6.656443173070679e-06
thr3.0_v8n,Idle,54.69170298390437,0.005663771378479079,1.542255245940308e-06
thr3.0_v8n,jumping_jack,23.61965931991515,0.011993052620006134,1.614232661134533e-05
thr5.0_v8n,Idle+jumpimg_jack,75.49445153873074,0.012344701552079475,6.352103353374054e-06
thr5.0_v8n,Idle,57.03292943995613,0.005663771378479079,1.542255245940308e-06
thr5.0_v8n,jumping_jack,32.39146026053448,0.016769149001247236,1.6486398916464888e-05
thr7.0_v8n,Idle+jumpimg_jack,75.61349389245659,0.013607924094059197,6.581033254635684e-06
thr7.0_v8n,Idle,59.56753932903846,0.005663771378479079,1.542255245940308e-06
thr7.0_v8n,jumping_jack,60.006348716271376,0.02688057171510233,1.7557382898511137e-05
