Configuration,Video,FPS,MPJPE,Jitter
skip10_v8n,Idle+jumpimg_jack,80.43179056951605,0.009367878533801138,0.0024164065
skip10_v8n,Idle,89.37794816478211,0.005220725896141654,0.00016288293
skip10_v8n,jumping_jack,56.653471872324715,0.013426925894649736,0.006450887
skip15_v8n,Idle+jumpimg_jack,81.553851421919,0.009856390706582868,0.0023745315
skip15_v8n,Idle,118.6100188600337,0.005854976041976444,0.00012833103
skip15_v8n,jumping_jack,56.111255489447,0.013426925894649736,0.006450887
skip2_v8n,Idle+jumpimg_jack,54.118604447768966,0.008260499480256275,0.0026094532
skip2_v8n,Idle,50.46685565682968,0.004673870167258149,0.00046307917
skip2_v8n,jumping_jack,54.07167224534664,0.012757637863366198,0.0064669913
skip4_v8n,Idle+jumpimg_jack,48.97723034241237,0.008458973368988416,0.0025548716
skip4_v8n,Idle,63.04374872136936,0.004734271214055249,0.0002752216
skip4_v8n,jumping_jack,41.22778969216922,0.013094623024225226,0.006418676
skip6_v8n,Idle+jumpimg_jack,55.4320298298659,0.009165959390337578,0.0024074959
skip6_v8n,Idle,58.49178428856722,0.0048056029752335154,0.00021604417
skip6_v8n,jumping_jack,41.895524329061466,0.013426925894649736,0.006450887
