Configuration,Video,FPS,MPJPE,Jitter
hybrid_v26m,Idle+jumpimg_jack,25.798050400844204,0.0050864101430399865,0.0021513067
hybrid_v26m,Idle,32.323052601009515,0.0029392267796822954,0.00019264425
hybrid_v26m,jumping_jack,18.033275655026678,0.010988757122729955,0.005986579
hybrid_v26n,Idle+jumpimg_jack,67.22228736448054,0.006863363252575552,0.0021879007
hybrid_v26n,Idle,74.90939356303716,0.0034181674575401006,0.00020153572
hybrid_v26n,jumping_jack,50.345265339133945,0.012488269772150229,0.0061571766
hybrid_v8m,Idle+jumpimg_jack,22.0060396919342,0.006023940369143074,0.002171673
hybrid_v8m,Idle,29.190139745565467,0.004205407755814137,0.00018922606
hybrid_v8m,jumping_jack,15.358366173058426,0.00970255236948108,0.0061060777
hybrid_v8n,Idle+jumpimg_jack,75.99779332787222,0.009165959390337578,0.0024074959
hybrid_v8n,Idle,84.47875410473303,0.0048056029752335154,0.00021604417
hybrid_v8n,jumping_jack,56.084286475628254,0.013426925894649736,0.006450887
pure_v26m,Idle+jumpimg_jack,6.0197286493048425,0.0031782470871708733,0.0051069935
pure_v26m,Idle,5.9638465020622835,0.00268905423674773,0.0015312943
pure_v26m,jumping_jack,6.067368940989345,0.007033089735115693,0.013132478
pure_v26n,Idle+jumpimg_jack,18.646759577633016,0.005516676587798264,0.0052484055
pure_v26n,Idle,17.08150646763683,0.0033600617496815097,0.0019204066
pure_v26n,jumping_jack,17.64748247115276,0.009041219874758557,0.014672187
pure_v8m,Idle+jumpimg_jack,5.040828099530511,0.004580823646827693,0.0053892788
pure_v8m,Idle,5.709862620989492,0.004016820133603586,0.0018790091
pure_v8m,jumping_jack,5.643605985506478,0.007265105426492757,0.01357608
pure_v8n,Idle+jumpimg_jack,21.2759481719905,0.007930531563780575,0.0073455414
pure_v8n,Idle,20.715826078289737,0.004731458926608755,0.0023677966
pure_v8n,jumping_jack,21.09735244251718,0.011584857412776657,0.015851356
