Configuration,FPS,MPJPE,Jitter
scale0.25_v8n,69.1439212691916,0.00913282942007361,0.003024809
scale0.50_v8n,69.30811007359408,0.008773629554775989,0.0030462407
scale1.00_v8n,56.15965348883187,0.008801183360417202,0.0030532957
