Video,YOLO_Pure_FPS,YOLO_Hybrid_FPS,YOLO_Speedup,YOLO_Pure_Jitter,YOLO_Hybrid_Jitter,YOLO_Jitter_Reduction_%,YOLO_Pure_MPJPE,YOLO_Hybrid_MPJPE,MP_Pure_FPS,MP_Hybrid_FPS,MP_Speedup,MP_Pure_Jitter,MP_Hybrid_Jitter,MP_Jitter_Reduction_%,MP_Pure_MPJPE,MP_Hybrid_MPJPE
penn_clean_and_jerk_0759,15.705213612587539,130.80913495552142,8.32902615540864,0.012025594711303711,0.0008480781107209623,92.94772415767684,0.11275360253592696,0.11538934491259664,18.224701231503367,315.6799685697663,17.321544236021786,0.012091702781617641,0.0008644203771837056,92.85112781222313,0.11276247891958895,0.11467366291623769
penn_clean_and_jerk_0766,22.027915988104724,141.81351683124797,6.43789984072159,0.008415520191192627,0.0009217587648890913,89.04691874123515,0.1069189870094715,0.10706800910808742,57.129382703167934,330.0196662512313,5.7767063223130375,0.16935282945632935,0.003956709522753954,97.66362951510399,0.2148507082287234,0.19432832656386204
penn_jumping_jacks_1043,21.561397922211295,115.37860656182399,5.351165401152755,0.010185607708990574,0.0020293586421757936,80.07621439823829,0.12186766326119473,0.12465293408743132,56.18447879709096,239.38611101862995,4.260716057955574,0.009779000654816628,0.0025098116602748632,74.33468153989068,0.12186331901896168,0.12423352396295739
penn_jumping_jacks_1068,19.156719157327263,118.13438613037538,6.1667337272202,0.041062671691179276,0.0011407978599891067,97.22181287041252,0.11355106830611723,0.10589160957081956,55.29841236238082,276.1647876381053,4.994081671429297,0.023231064900755882,0.0012139545287936926,94.77443443088055,0.11288522279541938,0.11965015125077649
penn_jumping_jacks_1081,23.14368286543417,113.55042185587317,4.906324655245962,0.026090344414114952,0.003444514935836196,86.79774064625722,0.11608251686183774,0.1140487917186125,56.72022128266755,270.91108543018845,4.776269896411227,0.02495376393198967,0.0034695786889642477,86.09597053807023,0.11657339039959988,0.11758435744974455
penn_jumping_jacks_1124,22.41907093671692,134.07290027896352,5.980305814519062,0.009603548794984818,0.0033923997543752193,64.67556080782549,0.12524010454722798,0.127538044560952,55.65703993776882,280.22565506382256,5.034864509092616,0.009963827207684517,0.004032840020954609,59.52519110483655,0.12633565360255966,0.12778572629970938
penn_pullup_1201,22.704000216522218,132.23297864462626,5.824215001037452,0.007317438721656799,0.00044668454211205244,93.89561622443058,0.07252776989682319,0.07217947838440684,53.552324657813685,294.07412383539486,5.491341892522069,0.19640858471393585,0.006946949753910303,96.46301114382125,0.1690097581635518,0.22224878711854243
penn_pullup_1301,21.780868345702096,140.83669354020384,6.4660734046443284,0.007025711704045534,0.00039132163510657847,94.43014954796325,0.14518146652283567,0.1454246127563022,54.14869033888182,310.57516857873094,5.735598896945443,0.019046694040298462,0.0004382922197692096,97.69885409592928,0.1402120005821257,0.13863802163077282
penn_squat_1676,21.788284170238594,135.52968277834404,6.220300860747399,0.004115816671401262,0.0005010113818570971,87.82716962739441,0.08695692232867176,0.08699314158789832,53.235178176775165,297.3114255155731,5.584867670176799,0.00454580457881093,0.0005200937739573419,88.55881802791035,0.08709191817860332,0.08668830757877818
penn_squat_1681,19.80989445625105,131.99201767851216,6.662933917694944,0.005708753131330013,0.00047309655928984284,91.71278651561481,0.13958979650947465,0.13935429213466008,52.636873815253594,304.36833926778434,5.782416720568646,0.008111177012324333,0.0004936822806484997,93.913555580178,0.13912343903648838,0.13938651991032858
penn_squat_1700,18.401698090188514,115.9772537533753,6.302529972231882,0.005906285718083382,0.0006323729176074266,89.29322169987005,0.12294241239548485,0.12287001827815745,53.83165818851364,280.6714652656359,5.2138736704477795,0.008116004057228565,0.0006046242197044194,92.55022280125763,0.12440339919908158,0.12437984606466918
penn_squat_1785,22.539276002631212,156.8071463511971,6.957062255810329,0.010035666637122631,0.0007000223267823458,93.02465544049745,0.12341016220364635,0.1233615582530869,53.72108331255231,302.6535379265377,5.633794392523365,0.01974538154900074,0.0009207725524902344,95.33677001781294,0.11941678009636887,0.12154865509854534
